SMILES,TITLE,TanimotoCombo,ColorTanimoto,Tanimoto
CC(C)(C)C(=O)NCc1ccc(cc1)C(=O)NC[C@@H](C2CCOCC2)C(=O)OC,m_22bbh_4147442_5636330,0.69,0.18,0.51
CCN(CC)S(=O)(=O)c1cc(ccc1C)C(=O)N(C)Cc2cccc3c2cc[nH]3,m_22bbh_9297982_60205,0.97,0.35,0.62
c1ccc2cc(ccc2c1)c3cc(n[nH]3)C(=O)N4CCC(CC4)c5cccc(c5)S(=O)(=O)N,m_22bbh_13476066_11403596,0.55,0.17,0.38
c1cc(ncc1CNC(=O)[C@@H](c2cc(cc(c2)Cl)Cl)O)N3CCCCC3,m_22bbh_788854_7941148,0.89,0.26,0.63
CC(=O)NCCNC(=O)c1cc(ccc1Cl)CO,m_22bbh_58632_21202810,0.87,0.27,0.60
CCOC(=O)[C@@H]([C@H](C)NC(=O)CNS(=O)(=O)c1cccc(c1)Cl)O,m_22bbh_13570718_60059,0.98,0.40,0.58
CC(C)(C)OC(=O)N1CCCC[C@H]1CCNC(=O)c2cccc(c2)SCC#N,m_22bbh_13906216_6726640,0.75,0.25,0.49
CCc1cc(sc1C)C(=O)N2CCN(CC2)Cc3cccc4c3nccc4,m_22bbh_12360636_60605,0.68,0.18,0.50
COC(=O)[C@@H]1CCC[C@@H]1C(=O)N2CCN(CC2)c3cccc(c3Cl)Cl,m_22bbh_14934442_19882082,0.83,0.28,0.55
c1ccc(cc1)[C@H](C(=O)NCc2cccc3c2nccc3)N4CCSCC4,m_22bbh_2228378_1327642,0.93,0.27,0.67
Cc1cc(n(n1)CCNC(=O)Cc2ccc(cc2)S(=O)(=O)N)C,m_22bbh_14792130_3173318,0.84,0.23,0.61
CC(C)n1cnc(n1)C(=O)N(C)C[C@H]2CCCO[C@@H]2c3ccccc3,m_22bbh_2367326_20819586,1.08,0.37,0.71
CCOC(=O)C1(CCC1)C(=O)NCCc2nc(c(s2)C)c3ccccc3,m_22bbh_5575130_7687448,0.94,0.32,0.62
Cc1cc(n(n1)c2ccc(cc2)C(=O)N3CCC[C@@](C3)(C(F)F)O)c4ccccc4,m_22bbh_15423542_11761706,0.87,0.46,0.41
CC(C)C[C@@H](C(=O)NCCNS(=O)(=O)c1ccc(cc1)C#N)NC(=O)CC(F)(F)F,m_22bbh_21464000_11571980,0.72,0.21,0.51
CCOC(=O)NCCC(=O)N(C)Cc1nccn1C(C)C,m_22bbh_14783572_625022,0.88,0.16,0.71
c1ccc(c(c1)[C@@H]2C[C@H]2NC(=O)c3cccn4c3nnn4)C(F)(F)F,m_22bbh_18983162_12102890,0.69,0.11,0.57
Cc1c2cc(sc2n(n1)CC(C)C)C(=O)NCc3ccc(cc3)c4cccs4,m_22bbh_11970126_135531,0.65,0.17,0.48
C[C@H](Cn1cccn1)NC(=O)Cc2cc(nn2C)C3CC3,m_22bbh_662358_20854066,0.96,0.29,0.67
Cc1cc(c(c(c1)O)C(=O)NC2CCN(CC2)C(=O)NC3CCCCC3)C,m_22bbh_2040736_16902780,0.65,0.21,0.43
c1ccc(cc1)[C@H](c2ccc(cc2)Cl)SCC(=O)N[C@@H](CO)c3cccc(c3)C(F)(F)F,m_22bbh_12364052_60468,0.78,0.29,0.49
CCOc1ccc2ccccc2c1C(=O)NCc3ccn(n3)c4ccc(cc4)OC,m_22bbh_1316544_13449750,0.69,0.16,0.53
Cc1ccc2c(c1)sc(c2Cl)C(=O)NCCc3nc(no3)C(F)(F)F,m_22bbh_17553412_3391220,0.92,0.29,0.62
Cc1c(c(ccc1)CC(=O)N[C@H]2C[C@@H](C2)c3cc(c(cc3)Cl)Cl)Cl,m_22bbh_9750034_9293236,0.84,0.32,0.52
Cc1c2cc(sc2n(n1)Cc3ccc(cc3)Cl)C(=O)N(C)CCOCCCOC,m_22bbh_8266224_135526,0.86,0.31,0.55
CCc1nnc2n1C[C@@H](CC2)NC(=O)CCO[C@@H](C)CC(C)C,m_22bbh_2542750_6954452,0.77,0.18,0.59
CCC(CC)(CNC(=O)CN1C(=O)[C@@](NC1=O)(C)c2ccc(cc2)C)C(F)(F)F,m_22bbh_12547736_153412,0.87,0.21,0.66
c1cc2c(c(c1)Br)CN(CCO2)C(=O)[C@@]3(CCCCO3)C(F)(F)F,m_22bbh_11763106_14580662,0.94,0.27,0.67
C[C@@H]([C@H](Cc1ccccc1)O)NC(=O)C2(CC2)c3ccccc3,m_22bbh_7634696_262352,1.07,0.43,0.64
CN(C)CC[C@H](c1cccs1)NC(=O)[C@H]2CCC(=O)c3c2cccc3,m_22bbh_19962614_9965918,0.90,0.22,0.68
COc1cc(cc(c1)F)CNC(=O)c2ccc(cc2)S(=O)(=O)Nc3cccc(c3)C(F)(F)F,m_22bbh_8165178_59465,0.63,0.16,0.47
CN(C)[C@H]1C[C@@H](CN(C1)C(=O)c2cccnc2C(F)F)C(=O)OC,m_22bbh_14059738_13034276,1.03,0.42,0.61
CC(C)CC1(CN(C1)C(=O)c2ccc(s2)c3ccc(cc3)F)O,m_22bbh_17763296_138642,0.98,0.53,0.46
C[C@@H](CCN(C)C(=O)[C@H]1CC[N@@]1C2CCCC2)O,m_22bbh_6483548_11968218,1.12,0.46,0.66
COC(=O)C1(CN(C1)C(=O)c2ccn(n2)c3cc(cc(c3)F)F)O,m_22bbh_12640474_13033182,0.94,0.48,0.46
C[S@](=N)(=O)C1CC(C1)CNC(=O)Cc2cc(cnc2)Br,m_22bbh_20610952_14038404,0.92,0.21,0.71
Cc1ccc(n1c2ccc(cc2)C(=O)N3CCc4cc(cnc4C3)C(=O)OC)C,m_22bbh_20082558_60281,0.77,0.22,0.54
CCc1ccccc1COc2ccccc2C(=O)N3CCN(CC3)S(=O)(=O)N4CCCCC4,m_22bbh_17649062_16658446,0.88,0.27,0.62
C[C@@H](c1ccccc1OC)NC(=O)[C@@H]2C[C@@H](NC(=O)C2)c3ccccc3,m_22bbh_58582_14475920,0.90,0.25,0.65
CC(C)(C)OC(=O)N1CC[C@@H](C1)C(=O)NCc2ccc(cc2)C(=O)NC3CC3,m_22bbh_1499178_5531058,0.72,0.21,0.51
CC(C)(C)OC(=O)N[C@@H](CC1CCOCC1)C(=O)N2CCc3c(cc(cc3Cl)F)C2,m_22bbh_10643248_15065686,0.84,0.25,0.59
COc1ccc(c(c1)OC)Cn2c3c(cc(cn3)C(=O)N4Cc5cc(sc5C4)C(=O)OC)cn2,m_22bbh_20616902_624976,0.64,0.26,0.39
CCCC(=O)NC[C@H]1CCCN(C1)C(=O)CCNC(=O)C,m_22bbh_2729268_59667,0.83,0.14,0.68
c1c(cn[nH]1)S(=O)(=O)[N@]2CCC[C@@H](C2)CNC(=O)[C@@H]3CC=CC[C@@H]3C(=O)N4CCOCC4,m_22bbh_19963814_9155902,0.78,0.22,0.56
c1c2cc([nH]c2c(cc1F)F)C(=O)N3CC[C@]4(C3)CNC(=O)O4,m_22bbh_20976350_16720306,0.93,0.24,0.69
C[C@@H](c1cc(no1)Br)NC(=O)c2cc([nH]c(=O)c2)C3CC3,m_22bbh_20082844_8930076,0.77,0.18,0.59
CC1(CCN(CC1)C(=O)c2c[nH]c(n2)C(C)(C)C)CO,m_22bbh_8795228_14480096,0.96,0.30,0.66
CN(Cc1nc([nH]n1)c2ccccc2)C(=O)c3ccc(cc3)c4nc(on4)CCOC,m_22bbh_14950134_13757022,0.63,0.16,0.47
Cc1cc(cc(c1F)C(=O)N2CCC(CC2)(C)c3nc(no3)C)Br,m_22bbh_8625658_17784000,1.05,0.33,0.72
Cc1ccc2c(c1)[nH]nc2C(=O)N3CCCN(CC3)C(=O)OCC(C)C,m_22bbh_2561346_19620322,0.92,0.29,0.63
Cc1nnc(s1)CN2CCN(CC2)C(=O)c3ccc(cc3)c4ccccc4C#N,m_22bbh_14577578_14651542,0.77,0.24,0.53
Cc1ccc(cc1)[C@@H](C(=O)N2CCN(CC2)C(C)C)NC(=O)OC(C)(C)C,m_22bbh_546960_9651128,0.92,0.30,0.61
COc1cc(cc2c1cc([nH]2)C(=O)N3C[C@H]4C[C@@H]([C@H](C[C@H]4C3)O)O)Br,m_22bbh_16522230_18323216,0.92,0.27,0.65
CCOC(=O)[C@H](CCC(=O)N1CCC[N@@](CC1)C(C)C)NC(=O)OC(C)(C)C,m_22bbh_3066464_20997204,0.69,0.18,0.51
Cc1ccc(c(c1)C)CNC(=O)c2ccc(c3c2[nH]nc3)OC,m_22bbh_542984_19891362,0.81,0.21,0.61
Cc1cc(sc1)CNC(=O)CCNC(=O)N(C)Cc2ccccc2,m_22bbh_10740180_3071316,0.92,0.39,0.53
CCC[C@H]1C[C@@H]1CNC(=O)c2ccc3nnc(n3c2)C4CC4,m_22bbh_14584582_16784274,0.77,0.22,0.55
Cc1ccc(cc1)[C@@H](CC(=O)NCc2cc(sc2Cl)C(=O)OC)NC(=O)C,m_22bbh_14326302_107335,0.86,0.23,0.63
c1ccc(cc1)CC[C@@H](Cc2ccccc2)C(=O)N[C@H]3CCO[C@]4(C3)CCSC4,m_22bbh_7349738_13573578,0.79,0.23,0.56
CNC(=O)c1[nH]nc(n1)C2CCN(CC2)C(=O)c3ccc4c(c3)ncn4C,m_22bbh_11413138_7764070,0.75,0.18,0.57
CN1c2cc(ccc2OCC1=O)C(=O)N3CCC[C@]4(C3)C(=O)NC(=O)N4,m_22bbh_16910670_12298274,0.90,0.20,0.71
Cc1c(nc2c(cc(cc2n1)F)C(=O)NCc3cncn3C(C)C)C,m_22bbh_20613184_1056146,0.79,0.23,0.56
Cc1nc2cncc(n2n1)N3CCN(CC3)C(=O)c4ccc5c(c4)nc([nH]5)C(C)(C)CO,m_22bbh_9090824_13206656,0.61,0.18,0.43
CCC[C@H]1CC[C@@H](CC1)C(=O)NC[C@H](N2CCOCC2)c3cc(ccc3)Cl,m_22bbh_2833308_17844476,0.86,0.23,0.62
Cc1ccc(nc1)C(C(=O)N[C@@H]2CCC[N@@](C2)Cc3nc(on3)C4CC4)(F)F,m_22bbh_22154812_16728260,0.80,0.23,0.57
Cc1c(c(no1)c2c(cccc2Cl)OC)C(=O)N(C)CCc3ccc4c(c3)OCO4,m_22bbh_13039454_9601432,0.93,0.32,0.61
C[C@@H](CNC(=O)c1cnc2c(ccc(c2c1O)Cl)OC)NC(=O)OC(C)(C)C,m_22bbh_9477782_21414248,0.74,0.17,0.57
Cc1cc(c(cc1F)C(=O)N[C@@H](c2ccc(cc2)OC(C)C)[C@H](C)O)F,m_22bbh_20901956_7043552,0.87,0.25,0.62
C[N@@]1CC[N@@]2CCN(C[C@@H]2C1)C(=O)c3cc(c(c(c3)F)OCc4ccccc4)F,m_22bbh_21011494_12111392,0.80,0.23,0.57
C[N@@]([C@H]1CCCN(C1)C(=O)c2c(ccc(c2F)C(F)(F)F)F)S(=O)(=O)C,m_22bbh_5825212_14772284,0.89,0.27,0.63
CS(=O)(=O)NCCCNC(=O)c1c(ccs1)S(=O)(=O)N2CCC(CC2)CO,m_22bbh_505006_10427740,0.86,0.19,0.67
CCN(CCCNC(=O)OC(C)(C)C)C(=O)c1c(ocn1)c2cccs2,m_22bbh_21673672_4147190,0.89,0.28,0.61
Cc1cn2c(c(nc2s1)C)CNC(=O)c3cc4cc(cc(c4[nH]3)F)F,m_22bbh_10550932_16720306,0.78,0.23,0.56
CC(C)(C)OC(=O)NCCc1ccc(cc1)OCC(=O)N2CCN(CC2)S(=O)(=O)c3ccc4c(c3)OCCO4,m_22bbh_413402_18181640,0.53,0.21,0.31
Cc1cc(c(n1C2CC2)C)C(=O)N3CCC[C@H](C3)F,m_22bbh_11735960_138806,1.05,0.43,0.62
C[C@@H](C(=O)NCCCOc1ncccn1)n2ccc(n2)C3CC3,m_22bbh_11758020_13017394,0.94,0.26,0.67
CC(C)(C)OC(=O)N[C@@H](CC(=O)N1CC(C1)n2ccnn2)c3ccccc3C(F)(F)F,m_22bbh_12808076_21189978,0.77,0.19,0.58
CCc1nc2ccccc2n1CCNC(=O)c3cnn(c3)Cc4ccccc4,m_22bbh_5448690_134191,0.74,0.24,0.50
CC(C)(C)OC(=O)c1cccc(c1)C(=O)N2CCC(CC2)n3c4ccccc4oc3=O,m_22bbh_20611072_8166174,0.73,0.19,0.53
Cc1c(c(no1)C2CCCC2)C(=O)NCc3cnccc3OC,m_22bbh_10464564_13469656,1.11,0.40,0.71
Cc1ccccc1NS(=O)(=O)c2ccc(cc2)C(=O)N3CCC(S(=O)(=O)C(C3)(C)C)(C)C,m_22bbh_20902532_59514,0.74,0.19,0.56
CC(C)(C)OC(=O)N(C)CC(C)(C)C(=O)NCC1(CCCC1)C(=O)NC,m_22bbh_20841476_20875086,0.86,0.15,0.70
Cc1c(c2cc(ccc2[nH]1)OC)C(=O)NC[C@H]3CCCC34CCN(CC4)C(=O)OC(C)(C)C,m_22bbh_14056146_7633656,0.72,0.22,0.49
c1ccc(cc1)C2CCC(CC2)CCNC(=O)c3ccc(c(c3O)F)Cl,m_22bbh_13940764_13578686,0.82,0.27,0.54
Cc1cn2c(cnc2s1)C(=O)N(C)CCOCCCN(C)C(=O)OC(C)(C)C,m_22bbh_20611432_15415684,0.77,0.20,0.56
CCCCCCNC(=O)[C@@H]1CCCN(C1)C(=O)c2ccc(cc2C)N3C(=O)c4ccccc4C3=O,m_22bbh_2391704_12889990,0.67,0.19,0.48
CCCN(CC=C)C(=O)C1(CC1)C2=CCN(CC2)C(=O)OC(C)(C)C,m_22bbh_13611716_14476350,0.73,0.16,0.57
CC1(OCC(CO1)NC(=O)c2c(c3ccccn3n2)Br)C,m_22bbh_8751334_16952216,0.75,0.18,0.57
Cc1c2ccccc2nc(c1CC(=O)NC[C@@H](C3CCN(CC3)C(=O)OC(C)(C)C)O)C,m_22bbh_22141420_300168,0.76,0.22,0.55
COCCOc1c(cccn1)CNC(=O)CCC(=O)c2ccc(cc2)OC,m_22bbh_1945428_2307666,0.88,0.26,0.63
Cc1ccc(cc1N2CCN(CC2)C(=O)C3CCOCC3)Cl,m_22bbh_58386_103126,0.85,0.44,0.42
CC1CCN(CC1)c2ccc(cn2)C(=O)NCC[S@@](=N)(=O)CCOC,m_22bbh_20610634_2909456,0.73,0.27,0.46
c1ccc(c(c1)OCCN2CCN(CC2)C(=O)Cc3c(ncs3)c4cccs4)Cl,m_22bbh_214901_18796498,0.64,0.17,0.47
CC(C)(C)OC(=O)NC1CC2(C1)C[C@@H]2C(=O)N3CCC(CC3)N4CCCNC4=O,m_22bbh_7639974_16889932,0.76,0.19,0.57
