Tanimoto,SMILES
0.22727272727272727,N=C(N)NC[C@@H](N)C(=O)Nc1nc(Cl)ccc1F
0.22727272727272727,Cc1ccc(NC(=O)[C@H](N)CNC(=N)N)c(F)n1
0.22727272727272727,N=C(N)NC[C@@H](N)C(=O)Nc1nnccc1C(=O)O
0.22727272727272727,COc1ccnc(NC(=O)[C@H](N)CNC(=N)N)n1
0.22727272727272727,N=C(N)NC[C@@H](N)C(=O)Nc1cnc2ccccc2n1
0.22535211267605634,Cn1nc(NC(=O)[C@H](N)CNC(=N)N)c2cccnc21
0.22388059701492538,N=C(N)NC[C@@H](N)C(=O)Nc1ncc2cccnc2n1
0.22388059701492538,COc1cncc(NC(=O)[C@H](N)CNC(=N)N)n1
0.22388059701492538,N=C(N)NC[C@@H](N)C(=O)Nc1nccc2ccncc12
0.22388059701492538,Cc1ncc(F)c(NC(=O)[C@H](N)CNC(=N)N)n1
0.22388059701492538,N=C(N)NC[C@@H](N)C(=O)Nc1ccnc2ccccc12
0.22388059701492538,Cc1ccnc(NC(=O)[C@H](N)CNC(=N)N)c1F
0.22388059701492538,COc1cnc(NC(=O)[C@H](N)CNC(=N)N)nc1C
0.22388059701492538,N=C(N)NC[C@@H](N)C(=O)Nc1onc2ccccc12
0.2222222222222222,COc1cc(C#N)cnc1NC(=O)[C@H](N)CNC(=N)N
0.22058823529411764,Cc1ncc(CO)c(NC(=O)[C@H](N)CNC(=N)N)n1
0.22058823529411764,Cn1c(NC(=O)[C@H](N)CNC(=N)N)cc2ccccc21
0.22058823529411764,N#Cc1ccnnc1NC(=O)[C@H](N)CNC(=N)N
0.22058823529411764,C[C@H](O)c1ncccc1NC(=O)[C@H](N)CNC(=N)N
0.22058823529411764,C[C@@H](O)c1cccnc1NC(=O)[C@H](N)CNC(=N)N
0.22058823529411764,C[C@@H](O)c1ncccc1NC(=O)[C@H](N)CNC(=N)N
0.22058823529411764,N=C(N)NC[C@@H](N)C(=O)Nc1nccc2ncccc12
0.22058823529411764,N=C(N)NC[C@@H](N)C(=O)Nc1nccc2cccnc12
0.22058823529411764,C[C@H](O)c1cccnc1NC(=O)[C@H](N)CNC(=N)N
0.22058823529411764,CSc1cnnc(NC(=O)[C@H](N)CNC(=N)N)c1
0.22058823529411764,Cn1c(NC(=O)[C@H](N)CNC(=N)N)nc2ccccc21
0.22058823529411764,CSc1cnccc1NC(=O)[C@H](N)CNC(=N)N
