SMILES,TITLE,TanimotoCombo,ColorTanimoto,Tanimoto
Cc1cc(n2c(n1)nc(n2)SCc3ccccc3C(=O)N4CCCCCC4)C,m_22bbh_57673_337148,0.95,0.29,0.67
c1ccc(c(c1)CSc2nc3ccccc3o2)C(=O)N4CCCCCC4,m_22bbh_57673_337152,0.96,0.24,0.73
Cc1ccc(cc1)n2c(c(cn2)C(=O)N3CCCCCC3)C(F)(F)F,m_22bbh_57673_337182,0.96,0.49,0.46
c1cc(cc(c1)C(F)(F)F)C2(CCCC2)C(=O)N3CCCCCC3,m_22bbh_57673_337184,1.17,0.52,0.65
Cc1c(cnn1c2cccc(c2)C(F)(F)F)C(=O)N3CCCCCC3,m_22bbh_57673_338046,0.93,0.49,0.44
C[C@@H]1CC[C@H]([C@H](C1)OCC(=O)N2CCCCCC2)C(C)C,m_22bbh_57673_338054,1.00,0.33,0.68
C1CCCN(CC1)C(=O)CSCC(=O)N2CCCCC2,m_22bbh_57673_338064,1.11,0.45,0.66
Cc1nc(c(s1)CC(=O)N2CCCCCC2)c3cccs3,m_22bbh_57673_338066,1.19,0.46,0.73
c1cc(ccc1CC(=O)N2CCCCCC2)NC(=O)N,m_22bbh_57673_338590,0.92,0.27,0.65
c1cc(c(nc1)O)C(=O)N2CCCCCC2,m_22bbh_57673_339626,1.05,0.42,0.63
c1ccc(cc1)c2nnn(n2)CC(=O)N3CCCCCC3,m_22bbh_57673_339630,1.02,0.36,0.66
Cn1c2ccccc2nc1SCC(=O)N3CCCCCC3,m_22bbh_57673_339636,1.04,0.38,0.66
CC(=O)NCCCCCC(=O)N1CCCCCC1,m_22bbh_57673_339638,0.85,0.20,0.65
c1ccc(c(c1)CSc2[nH]c3ccccc3n2)C(=O)N4CCCCCC4,m_22bbh_57673_339660,0.92,0.21,0.72
CCC(=O)N1CCc2c1ccc(c2)C(=O)N3CCCCCC3,m_22bbh_57673_950762,0.87,0.29,0.58
CCOc1ccc(cn1)C(=O)N2CCCCCC2,m_22bbh_57673_950842,1.04,0.47,0.56
c1ccc(cc1)Oc2ccc(cc2)Oc3ccc(cn3)C(=O)N4CCCCCC4,m_22bbh_57673_950866,0.62,0.21,0.41
c1cc(cc(c1)Br)n2c3c(c(n2)C(=O)N4CCCCCC4)CCCC3,m_22bbh_57673_950908,0.85,0.16,0.69
c1cc(ccc1n2c3c(c(n2)C(=O)N4CCCCCC4)CCCC3)Br,m_22bbh_57673_950918,0.87,0.20,0.66
c1ccc(c(c1)Oc2ccc(cn2)C(=O)N3CCCCCC3)Br,m_22bbh_57673_951092,0.85,0.38,0.47
Cn1cc(cn1)c2nc(cs2)C(=O)N3CCCCCC3,m_22bbh_57673_951330,0.92,0.24,0.68
CC(=O)Nc1ccc(cc1SC)C(=O)N2CCCCCC2,m_22bbh_57673_951406,0.82,0.29,0.53
c1ccc(c(c1)N2CC[C@H](C2=O)C(=O)N3CCCCCC3)Br,m_22bbh_57673_951442,0.89,0.21,0.68
C1CCCN(CC1)C(=O)[C@H]2CCCN2C(=O)NC3CCCCC3,m_22bbh_57673_951550,1.01,0.25,0.75
c1ccc2c(c1)-c3c(c(n[nH]3)C(=O)N4CCCCCC4)CO2,m_22bbh_57673_951560,0.87,0.27,0.61
c1cc(cnc1)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N4CCCCCC4,m_22bbh_57673_952856,0.92,0.24,0.68
Cc1cccc(c1)NC(=O)N2CCC(CC2)C(=O)N3CCCCCC3,m_22bbh_57673_952862,0.79,0.33,0.46
C1CCCN(CC1)C(=O)CC[N@]2CCCS2(=O)=O,m_22bbh_57673_952868,1.00,0.32,0.68
c1cnc(nc1)c2nc(cs2)C(=O)N3CCCCCC3,m_22bbh_57673_952876,0.95,0.21,0.74
c1cnc(nc1)c2nc(cs2)CC(=O)N3CCCCCC3,m_22bbh_57673_952878,0.98,0.27,0.71
Cc1c(sc(n1)c2ncccn2)C(=O)N3CCCCCC3,m_22bbh_57673_952880,0.91,0.39,0.52
c1ccc(c(c1)OCc2ccc(cc2)C(=O)N3CCCCCC3)Br,m_22bbh_57673_952998,0.77,0.20,0.57
c1cc(ccc1C(=O)N2CCCCCC2)NC(=O)c3ccc(cc3)Br,m_22bbh_57673_953008,0.65,0.22,0.43
C[C@@H](C(=O)N1CCCCCC1)Sc2nncn2C,m_22bbh_57673_953016,1.09,0.36,0.73
C[C@H](C(=O)N1CCCCCC1)Oc2ccc(c(c2)Cl)Cl,m_22bbh_57673_953044,1.13,0.36,0.77
c1cc(c(cc1F)C(=O)NCCC(=O)N2CCCCCC2)Br,m_22bbh_57673_953120,1.00,0.36,0.64
Cc1ccc(c(c1)O[C@H](C)C(=O)N2CCCCCC2)C(C)C,m_22bbh_57673_953134,1.02,0.32,0.69
Cc1ccc(c(c1)O[C@H](C)C(=O)N2CCCCCC2)Cl,m_22bbh_57673_953146,1.10,0.36,0.74
